epoch,loss,mae,val_loss,val_mae
0,0.04647107049822807,0.26741209626197815,0.04343044012784958,0.25926801562309265
1,0.044075850397348404,0.25973665714263916,0.04077823460102081,0.25382447242736816
2,0.042118895798921585,0.2539893388748169,0.03980947285890579,0.24838702380657196
3,0.04126831889152527,0.24970006942749023,0.03820871561765671,0.2453591525554657
4,0.0401424802839756,0.24586841464042664,0.037908006459474564,0.24364407360553741
5,0.03926214948296547,0.24335666000843048,0.038098208606243134,0.24394863843917847
6,0.0392894446849823,0.24235206842422485,0.03697728365659714,0.23685291409492493
7,0.037786196917295456,0.23745302855968475,0.03787481412291527,0.2413552701473236
0,0.037280820310115814,0.23082691431045532,0.03187723085284233,0.21547241508960724
1,0.03313399478793144,0.215327188372612,0.028410164639353752,0.19647803902626038
2,0.029385007917881012,0.19746874272823334,0.026135066524147987,0.1839093118906021
3,0.026211518794298172,0.18349669873714447,0.02668881230056286,0.17874011397361755
4,0.023090949282050133,0.16840921342372894,0.021466054022312164,0.15975439548492432
5,0.021399475634098053,0.16142116487026215,0.02230650559067726,0.16484040021896362
6,0.019983157515525818,0.15390175580978394,0.019990405067801476,0.15507519245147705
7,0.017726266756653786,0.14567391574382782,0.01944507658481598,0.15207511186599731
8,0.017856372520327568,0.1455913931131363,0.01697893626987934,0.14206381142139435
9,0.016336437314748764,0.1369839906692505,0.01754487305879593,0.14307771623134613
10,0.016604995355010033,0.13930940628051758,0.016112269833683968,0.13686805963516235
11,0.015257064253091812,0.13125845789909363,0.016459215432405472,0.1381135731935501
12,0.014409848488867283,0.12768490612506866,0.016678763553500175,0.13947132229804993
13,0.013830435462296009,0.12704207003116608,0.01806955225765705,0.14310193061828613
14,0.013839748688042164,0.1252032071352005,0.022757206112146378,0.16164584457874298
15,0.013167786411941051,0.12300039082765579,0.01752614974975586,0.14417751133441925
16,0.012559464201331139,0.12018650025129318,0.015698926523327827,0.13708046078681946
