epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.5655813813209534,0.5956486463546753,0.7113581895828247,0.6177777647972107,0.7621530890464783,0.6601705551147461
1,0.6600000262260437,0.7151986956596375,0.6170099973678589,0.5955555438995361,0.8036444187164307,0.6901960968971252
2,0.6883720755577087,0.7567849159240723,0.583937406539917,0.6155555844306946,0.8067160844802856,0.7495762705802917
3,0.7130232453346252,0.7909491062164307,0.5562378764152527,0.6911110877990723,0.8123950958251953,0.6219462156295776
4,0.7372093200683594,0.8069239854812622,0.5372895002365112,0.7044444680213928,0.8138667345046997,0.5922747850418091
5,0.7465116381645203,0.8118139505386353,0.5291243195533752,0.7333333492279053,0.8319802284240723,0.5312167406082153
6,0.7432557940483093,0.8244975805282593,0.5164297819137573,0.695555567741394,0.826548159122467,0.5996039509773254
7,0.7413953542709351,0.8260863423347473,0.5126081705093384,0.7555555701255798,0.8305876851081848,0.515350878238678
0,0.7253845930099487,0.7898627519607544,0.607121467590332,0.6911110877990723,0.831990122795105,0.8762917518615723
1,0.7865116000175476,0.8767359852790833,0.4314848482608795,0.7622222304344177,0.8662914037704468,0.6039166450500488
2,0.8023256063461304,0.8880713582038879,0.4145560562610626,0.7888888716697693,0.8907852172851562,0.515792191028595
3,0.8148837089538574,0.9008411169052124,0.3894173204898834,0.8288888931274414,0.911871612071991,0.3731563687324524
4,0.8227906823158264,0.9101741313934326,0.37132710218429565,0.8155555725097656,0.9153383374214172,0.42092302441596985
5,0.8483721017837524,0.9222987294197083,0.3447955846786499,0.8199999928474426,0.9292741417884827,0.3742256462574005
6,0.8534883856773376,0.930192768573761,0.3264327943325043,0.8311111330986023,0.9300740957260132,0.3726183772087097
7,0.8586046695709229,0.9376938939094543,0.31120771169662476,0.851111114025116,0.9419654607772827,0.33935049176216125
8,0.871627926826477,0.9422728419303894,0.29774805903434753,0.8355555534362793,0.9317333698272705,0.3621079921722412
9,0.8762790560722351,0.9434055089950562,0.2939973473548889,0.8155555725097656,0.9354369640350342,0.3966791033744812
10,0.8823255896568298,0.9531063437461853,0.26889702677726746,0.8155555725097656,0.9425086975097656,0.4072686433792114
11,0.879534900188446,0.9480990767478943,0.282543808221817,0.8533333539962769,0.944148063659668,0.3139956295490265
12,0.8781395554542542,0.9486681222915649,0.2842441201210022,0.8688889145851135,0.9524444341659546,0.2753906548023224
13,0.885581374168396,0.9546236991882324,0.2643987536430359,0.8733333349227905,0.9467061758041382,0.29864057898521423
14,0.8893023133277893,0.9568994641304016,0.25630176067352295,0.8733333349227905,0.947792649269104,0.30052828788757324
15,0.8958139419555664,0.9605464935302734,0.24694526195526123,0.855555534362793,0.9465283155441284,0.33186596632003784
16,0.8939535021781921,0.9577246904373169,0.25347232818603516,0.8577777743339539,0.9566123485565186,0.3058616816997528
17,0.8948836922645569,0.9613400101661682,0.24454720318317413,0.8666666746139526,0.9560790061950684,0.29590123891830444
