epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.5795348882675171,0.614811897277832,0.6984112858772278,0.6311110854148865,0.7544888854026794,0.6894316673278809
1,0.6511628031730652,0.7108776569366455,0.6254132986068726,0.6666666865348816,0.7668049335479736,0.6583752632141113
2,0.6925581097602844,0.7599524259567261,0.5856142044067383,0.6600000262260437,0.7884839773178101,0.6410848498344421
3,0.7204651236534119,0.7928575277328491,0.5517932772636414,0.6933333277702332,0.7765629887580872,0.6269480586051941
4,0.7200000286102295,0.7940539121627808,0.548266589641571,0.7200000286102295,0.8063604831695557,0.5791855454444885
5,0.7283720970153809,0.8087804913520813,0.5325226187705994,0.7288888692855835,0.8120987415313721,0.5549367666244507
6,0.7465116381645203,0.824087381362915,0.5159413814544678,0.7222222089767456,0.8023704290390015,0.5389913320541382
7,0.7400000095367432,0.8219573497772217,0.5134602189064026,0.6777777671813965,0.8204148411750793,0.6387467980384827
0,0.7103846073150635,0.7899887561798096,0.5948812365531921,0.6666666865348816,0.8114765286445618,1.1982334852218628
1,0.7744185924530029,0.8584151864051819,0.4607151448726654,0.7288888692855835,0.8474469780921936,0.8033350706100464
2,0.804651141166687,0.8934139609336853,0.4033387005329132,0.7622222304344177,0.8708148002624512,0.6192627549171448
3,0.8237209320068359,0.9058232307434082,0.3806678354740143,0.8155555725097656,0.9084049463272095,0.4029163718223572
4,0.8297674655914307,0.9168424010276794,0.35456955432891846,0.8199999928474426,0.9161876440048218,0.3786136507987976
5,0.8376744389533997,0.9189499616622925,0.35307371616363525,0.8311111330986023,0.9225185513496399,0.35701531171798706
6,0.85395348072052,0.9345700740814209,0.3189503848552704,0.8244444727897644,0.9184988141059875,0.35376426577568054
7,0.8683720827102661,0.9426644444465637,0.2957491874694824,0.8399999737739563,0.9283259510993958,0.3314664959907532
8,0.8683720827102661,0.9416627883911133,0.30234530568122864,0.8355555534362793,0.930587649345398,0.3276623487472534
9,0.8827906847000122,0.9481661319732666,0.2792365550994873,0.8533333539962769,0.941827118396759,0.31191015243530273
10,0.8734883666038513,0.9431899785995483,0.29016461968421936,0.8644444346427917,0.9480000138282776,0.28601762652397156
11,0.8725581169128418,0.9442297220230103,0.2937031090259552,0.8577777743339539,0.9446815252304077,0.2924872040748596
12,0.8804650902748108,0.9494459629058838,0.2807208001613617,0.8533333539962769,0.9447505474090576,0.29553306102752686
13,0.8827906847000122,0.9521535634994507,0.27307868003845215,0.855555534362793,0.9427258968353271,0.3069879412651062
14,0.8860465288162231,0.9538872241973877,0.26370716094970703,0.855555534362793,0.9513975977897644,0.2886176109313965
15,0.8879069685935974,0.9593380689620972,0.2524721324443817,0.8755555748939514,0.9588938355445862,0.26377493143081665
16,0.903255820274353,0.9654927253723145,0.2274377942085266,0.8644444346427917,0.9575209617614746,0.2718644142150879
17,0.8948836922645569,0.9595747590065002,0.24716171622276306,0.8733333349227905,0.9533432126045227,0.2819364666938782
