epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.5372093319892883,0.5397992134094238,0.7756856679916382,0.6555555462837219,0.7018864154815674,0.6449724435806274
1,0.5734883546829224,0.5996365547180176,0.7158847451210022,0.6666666865348816,0.7341234683990479,0.6270136833190918
2,0.5855814218521118,0.6101066470146179,0.7095845341682434,0.6866666674613953,0.7570567727088928,0.6066795587539673
3,0.6079069972038269,0.6561375856399536,0.6637849807739258,0.699999988079071,0.7721580266952515,0.5725860595703125
4,0.630232572555542,0.6766542196273804,0.6548532247543335,0.653333306312561,0.779298722743988,0.6019876599311829
5,0.6004651188850403,0.6568895578384399,0.6634442806243896,0.6777777671813965,0.7919210195541382,0.5847644805908203
6,0.6474418640136719,0.7050877809524536,0.6276366710662842,0.6822222471237183,0.7936691045761108,0.5660006999969482
7,0.6581395268440247,0.7222801446914673,0.6135895252227783,0.7133333086967468,0.7960098385810852,0.54267418384552
0,0.6723076701164246,0.7496949434280396,0.6098984479904175,0.7022222280502319,0.7998420000076294,0.6270169019699097
1,0.7320930361747742,0.8092344403266907,0.5254583954811096,0.753333330154419,0.8366024494171143,0.49793702363967896
2,0.7637209296226501,0.8488125205039978,0.47865167260169983,0.7599999904632568,0.8707061409950256,0.4849388301372528
0,0.5148836970329285,0.5288701057434082,0.7843063473701477,0.5400000214576721,0.6901629567146301,0.6998286843299866
3,0.7962790727615356,0.8823372721672058,0.42445313930511475,0.804444432258606,0.8952098488807678,0.40373149514198303
1,0.5627906918525696,0.5833401679992676,0.7260514497756958,0.6311110854148865,0.7690567970275879,0.6498215198516846
2,0.5813953280448914,0.617621660232544,0.6955477595329285,0.7044444680213928,0.7759703397750854,0.5865437388420105
4,0.8032557964324951,0.8933840990066528,0.4037129878997803,0.8177777528762817,0.9077826738357544,0.3793771266937256
3,0.5948837399482727,0.6396080255508423,0.6797405481338501,0.6688888669013977,0.784681499004364,0.6072627902030945
5,0.8265116214752197,0.9096536040306091,0.37425097823143005,0.8199999928474426,0.9048197269439697,0.3828437924385071
4,0.6260465383529663,0.677315354347229,0.6500046253204346,0.6822222471237183,0.7912296056747437,0.5813137888908386
5,0.6316279172897339,0.6725542545318604,0.6604814529418945,0.7266666889190674,0.7968394756317139,0.5517818331718445
6,0.8316279053688049,0.9143468141555786,0.3672167956829071,0.8177777528762817,0.9168000221252441,0.37221628427505493
7,0.8558139801025391,0.940419614315033,0.3072766363620758,0.8155555725097656,0.9218864440917969,0.37129485607147217
6,0.6660465002059937,0.7191839814186096,0.6166616678237915,0.6511111259460449,0.8036147356033325,0.6211258769035339
8,0.8609302043914795,0.935867965221405,0.31568002700805664,0.8066666722297668,0.9078222513198853,0.3755315840244293
9,0.8679069876670837,0.9445421099662781,0.2965014576911926,0.7977777719497681,0.9052049517631531,0.3893791735172272
10,0.879534900188446,0.9480912685394287,0.28561463952064514,0.8022222518920898,0.9061728715896606,0.4355787932872772
11,0.8739534616470337,0.9503944516181946,0.28079479932785034,0.7955555319786072,0.9241876602172852,0.4024478495121002
12,0.8841860294342041,0.958415150642395,0.2595994770526886,0.8488888740539551,0.9243161082267761,0.33855175971984863
13,0.8865116238594055,0.9528675079345703,0.2745537757873535,0.8133333325386047,0.9153975248336792,0.37493330240249634
14,0.8911628127098083,0.9578206539154053,0.25766536593437195,0.855555534362793,0.9339259266853333,0.3199259638786316
15,0.8883720636367798,0.957532525062561,0.2580089271068573,0.8222222328186035,0.9225086569786072,0.3488761782646179
16,0.8879069685935974,0.9590285420417786,0.2578139305114746,0.8422222137451172,0.9325432777404785,0.356837660074234
17,0.9004651308059692,0.9637801647186279,0.23962581157684326,0.8422222137451172,0.9214715957641602,0.3527534604072571
