epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.5225947499275208,0.5544149875640869,0.7486050724983215,0.6530612111091614,0.763593852519989,0.6252298355102539
1,0.6100583076477051,0.6501978635787964,0.6678963303565979,0.5646258592605591,0.7775000929832458,0.7292713522911072
2,0.6377550959587097,0.6937734484672546,0.6391081213951111,0.6394557952880859,0.7834929823875427,0.644380509853363
3,0.6603498458862305,0.6974995136260986,0.6397255063056946,0.6904761791229248,0.825119137763977,0.5759763717651367
4,0.6639941930770874,0.7287397384643555,0.6057718992233276,0.6326530575752258,0.830973207950592,0.6434740424156189
5,0.6887755393981934,0.750593900680542,0.5909464955329895,0.6326530575752258,0.829654335975647,0.6290293335914612
6,0.7172011733055115,0.7823100686073303,0.5647242665290833,0.6768707633018494,0.8381692171096802,0.5735660195350647
7,0.705539345741272,0.7683214545249939,0.5720184445381165,0.6360543966293335,0.8228978514671326,0.644365131855011
0,0.6698679327964783,0.7342024445533752,0.6375212669372559,0.6054421663284302,0.8107270002365112,1.0022733211517334
1,0.7397959232330322,0.8131380081176758,0.5170184969902039,0.6360543966293335,0.8210468292236328,0.8618560433387756
2,0.7645772695541382,0.8476006984710693,0.4694019854068756,0.6836734414100647,0.819149374961853,0.7483599781990051
3,0.8104956150054932,0.8742318153381348,0.4308772087097168,0.7414966225624084,0.8504558205604553,0.5850191712379456
4,0.7930029034614563,0.8795824646949768,0.41509556770324707,0.7278911471366882,0.841593861579895,0.5491045713424683
5,0.8024781346321106,0.8946517705917358,0.4016493260860443,0.7414966225624084,0.8646628856658936,0.5386571884155273
6,0.8112244606018066,0.8932874798774719,0.3913663625717163,0.761904776096344,0.870956540107727,0.4916951060295105
7,0.8163265585899353,0.9030388593673706,0.37655937671661377,0.7823129296302795,0.8829423189163208,0.4315115511417389
8,0.8221574425697327,0.8961020112037659,0.3874998986721039,0.7857142686843872,0.8831968307495117,0.4259299635887146
9,0.8367347121238708,0.9163942933082581,0.3514149487018585,0.7857142686843872,0.8934008479118347,0.40444156527519226
