epoch,loss,mae,val_loss,val_mae
0,0.05591319501399994,0.2864437699317932,0.045759715139865875,0.2691369652748108
1,0.046068497002124786,0.2658007740974426,0.04456866532564163,0.2653566598892212
2,0.04413415864109993,0.25965234637260437,0.044182367622852325,0.26147520542144775
3,0.04334677383303642,0.25597378611564636,0.04359717294573784,0.2598912715911865
4,0.04195975139737129,0.2519215941429138,0.0433623306453228,0.258752703666687
5,0.042121049016714096,0.2534557282924652,0.04317975789308548,0.257948637008667
6,0.042506247758865356,0.2525711953639984,0.04422202706336975,0.2585048973560333
7,0.04103710129857063,0.24764269590377808,0.04330200329422951,0.2590572237968445
0,0.03936485946178436,0.24053364992141724,0.04495704546570778,0.2530578076839447
1,0.032555755227804184,0.2131207436323166,0.04849763587117195,0.2501780092716217
2,0.025636011734604836,0.18351921439170837,0.03500145301222801,0.21330544352531433
3,0.02118968777358532,0.16204705834388733,0.039635833352804184,0.22454316914081573
4,0.01877566985785961,0.15109074115753174,0.028069226071238518,0.19090983271598816
5,0.01634950190782547,0.13897758722305298,0.025072604417800903,0.17968523502349854
6,0.015723681077361107,0.13610878586769104,0.022928720340132713,0.17216621339321136
7,0.014262298122048378,0.12860289216041565,0.020652668550610542,0.1642565280199051
8,0.013142455369234085,0.12245232611894608,0.02008766122162342,0.15937180817127228
9,0.013293256983160973,0.1221991553902626,0.01763378642499447,0.15056970715522766
10,0.01257813535630703,0.11996398121118546,0.015901055186986923,0.1427392065525055
11,0.01174747571349144,0.11522667109966278,0.013952444307506084,0.1332038938999176
12,0.011244493536651134,0.11254715174436569,0.013837804086506367,0.13314662873744965
13,0.010507418774068356,0.1083674505352974,0.014662078581750393,0.13468457758426666
14,0.011210629716515541,0.1117115393280983,0.011476755142211914,0.11938084661960602
15,0.01014747004956007,0.10655341297388077,0.011887364089488983,0.12172596156597137
16,0.009314257651567459,0.10228238999843597,0.012094940058887005,0.12318341434001923
17,0.008969318121671677,0.10024165362119675,0.015139522030949593,0.13418875634670258
