epoch,loss,mae,val_loss,val_mae
0,0.07080944627523422,0.3183667063713074,0.05839008465409279,0.2981882095336914
1,0.06135091930627823,0.2973974943161011,0.05142359808087349,0.26957032084465027
2,0.05329016223549843,0.2736411392688751,0.05646475777029991,0.2666407525539398
3,0.050928689539432526,0.2701680362224579,0.05647875368595123,0.2624668776988983
4,0.04713987559080124,0.25639280676841736,0.04678136482834816,0.2505168616771698
5,0.046392325311899185,0.25157514214515686,0.04719263315200806,0.24583782255649567
6,0.043717484921216965,0.24634425342082977,0.04978696629405022,0.2424686700105667
7,0.04186997190117836,0.2368623912334442,0.05196757987141609,0.24261614680290222
0,0.04425034672021866,0.24174398183822632,0.03975233808159828,0.22722935676574707
1,0.027671078220009804,0.17329168319702148,0.027919728308916092,0.16375645995140076
2,0.021811313927173615,0.1508336067199707,0.022515976801514626,0.14167168736457825
3,0.01947992667555809,0.13750237226486206,0.01971467211842537,0.13087671995162964
4,0.016781877726316452,0.12629026174545288,0.015541952103376389,0.11591706424951553
5,0.015706466510891914,0.11882558465003967,0.01578800566494465,0.10971715301275253
6,0.012600420974195004,0.10424019396305084,0.01331166923046112,0.1045430600643158
7,0.012321201153099537,0.10362855345010757,0.015678154304623604,0.11638110876083374
8,0.011732381768524647,0.10111557692289352,0.013491510413587093,0.09843696653842926
9,0.009952355176210403,0.09044617414474487,0.011244025081396103,0.0912284180521965
10,0.008983327075839043,0.08752617239952087,0.01623123325407505,0.10933452844619751
11,0.009347676299512386,0.08778063207864761,0.01440221257507801,0.10588334500789642
12,0.009599875658750534,0.08775842189788818,0.013068149797618389,0.09391122311353683
13,0.00881739892065525,0.08523792028427124,0.008991925045847893,0.08216357231140137
14,0.00820630881935358,0.08038707822561264,0.011061830446124077,0.08641020208597183
15,0.008130400441586971,0.08002903312444687,0.01083225104957819,0.08486909419298172
16,0.008653788827359676,0.08330466598272324,0.015336061827838421,0.10213383287191391
17,0.009388143196702003,0.08626334369182587,0.014985451474785805,0.09596776962280273
