epoch,loss,mae,val_loss,val_mae
0,0.055117808282375336,0.27650386095046997,0.03855296969413757,0.2369386851787567
1,0.04275595024228096,0.24425330758094788,0.036954790353775024,0.22702139616012573
2,0.03886256366968155,0.23161233961582184,0.0367165245115757,0.22411462664604187
3,0.03599180281162262,0.22243236005306244,0.035946786403656006,0.2201748490333557
4,0.03459416702389717,0.2173585742712021,0.03279230743646622,0.2116519957780838
5,0.03424086794257164,0.21541815996170044,0.033389266580343246,0.21231643855571747
6,0.03292134404182434,0.21257522702217102,0.038394853472709656,0.22394020855426788
7,0.03475014865398407,0.2178708016872406,0.03796716034412384,0.22388403117656708
0,0.031311724334955215,0.20402978360652924,0.023458044975996017,0.17628322541713715
1,0.02129395306110382,0.16141755878925323,0.018551597371697426,0.14938890933990479
2,0.017545122653245926,0.1448095440864563,0.020976321771740913,0.15460138022899628
3,0.015520397573709488,0.13481825590133667,0.014402683824300766,0.12928080558776855
4,0.014705424197018147,0.1293085664510727,0.014978595077991486,0.13318926095962524
5,0.013585720211267471,0.12449371069669724,0.015968618914484978,0.12898267805576324
6,0.011973192915320396,0.11544676125049591,0.014295713976025581,0.12534652650356293
7,0.010568618774414062,0.10732876509428024,0.011385733261704445,0.1110268160700798
8,0.010122234001755714,0.10599187016487122,0.013694681227207184,0.11558493971824646
9,0.009591920301318169,0.10271014273166656,0.0118160555139184,0.11142643541097641
10,0.010064449161291122,0.10389591008424759,0.014554657973349094,0.12217506766319275
11,0.008745118044316769,0.09699955582618713,0.010752136819064617,0.10300366580486298
12,0.008769460022449493,0.09728936851024628,0.010909533128142357,0.10142640024423599
13,0.008256006054580212,0.09247579425573349,0.011784551665186882,0.1087745800614357
14,0.0077209933660924435,0.09126179665327072,0.00903044268488884,0.09588038921356201
15,0.0076526738703250885,0.08975441753864288,0.008408847264945507,0.09275104850530624
16,0.007501115091145039,0.08829305320978165,0.010311281308531761,0.10318221151828766
17,0.007572584319859743,0.08901885151863098,0.007516203448176384,0.08664237707853317
